timestamp,Source IP,Destination IP,Throughput,Avg Throughput,Min Throughput,Max Throughput,Total Measured Time,Total Bytes Sent,Total Bytes Sent By Source,Total Bytes Sent By Destination,Total Bytes Received,Total Bytes Received By Source,Total Bytes Received By Destination,Bytes Lost Percentage,Total Bytes Lost,Total Bytes Lost By Source,Total Bytes Lost By Destination,Datagrams Lost,Datagrams Lost By Source,Datagrams Lost By Destination,Maximum Consecutive DG Lost,Max Maximum Consecutive DG Lost,Max Maximum Consecutive DG Lost By Source,Max Maximum Consecutive DG Lost By Destination,Total Datagrams Sent,Total Datagrams Sent By Source,Total Datagrams Sent By Destination,Total Datagrams Received,Total Datagrams Received By Source,Total Datagrams Received By Destination,Total Duplicate DG Sent,Total Duplicate DG Sent By Source,Total Duplicate DG Sent By Destination,Total Duplicate DG Received,Total Duplicate DG Received By Source,Total Duplicate DG Received By Destination,Total DG Out of Order,Jitter,Avg Jitter,Min Jitter,Max Jitter,Delay Variation,Max Delay Variation,One-Way Delay,Avg One-Way Delay,Min One-Way Delay,Max One-Way Delay,Estimated Error,Maximum Error,Mos,Avg Mos,Min Mos,Max Mos,R-value,Avg R-value,End-to-End Delay,Avg End-to-End Delay,Jitter Buffer Lost Datagrams,Total Jitter Buffer Lost Datagrams
2000,192.168.1.100,192.168.1.126,127462136,127462136,127462136,127462136,2,31865534,31865534,0,31865534,0,31865534,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4000,192.168.1.100,192.168.1.126,123600000,125531068,123600000,127462136,4,62765534,62765534,0,62765534,0,62765534,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6000,192.168.1.100,192.168.1.126,123331068,124797734,123331068,127462136,6,93598301,93598301,0,93598301,0,93598301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8000,192.168.1.100,192.168.1.126,125600000,124998301,123331068,127462136,8,124998301,124998301,0,124998301,0,124998301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10000,192.168.1.100,192.168.1.126,125737864,125146213,123331068,127462136,10,156432767,156432767,0,156432767,0,156432767,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12000,192.168.1.100,192.168.1.126,123331068,124843689,123331068,127462136,12,187265534,187265534,0,187265534,0,187265534,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14000,192.168.1.100,192.168.1.126,121600000,124380305,121600000,127462136,14,217665534,217665534,0,217665534,0,217665534,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16000,192.168.1.100,192.168.1.126,123200000,124232767,121600000,127462136,16,248465534,248465534,0,248465534,0,248465534,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18000,192.168.1.100,192.168.1.126,121868932,123970118,121600000,127462136,18,278932767,278932767,0,278932767,0,278932767,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20000,192.168.1.100,192.168.1.126,125331068,124106213,121600000,127462136,20,310265534,310265534,0,310265534,0,310265534,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
